username	creditCardCount	status	userType
calcultron	1	Approved	CustomerManager
calcultron2	2	Approved	Customer
calcwizard	1	Approved	Customer
clarinetbeast	0	Declined	Customer
cool_class4400	1	Approved	CustomerAdmin
DNAhelix	1	Approved	Customer
does2Much	1	Approved	Customer
eeqmcsquare	1	Approved	Customer
entropyRox	2	Approved	CustomerManager
fatherAI	0	Approved	Manager
fullMetal	1	Approved	Customer
gdanger	0	Declined	User
georgep	5	Approved	CustomerManager
ghcghc	0	Approved	Manager
ilikemoney$$	3	Approved	Customer
imbatman	0	Approved	Manager
imready	1	Approved	Customer
isthisthekrustykrab	3	Approved	Customer
manager1	0	Approved	Manager
manager2	0	Approved	Manager
manager3	0	Approved	Manager
manager4	0	Approved	Manager
notFullMetal	1	Approved	Customer
programerAAL	1	Approved	Customer
radioactivePoRa	0	Approved	Manager
RitzLover28	1	Approved	Customer
smith_j	0	Pending	User
texasStarKarate	0	Declined	User
thePiGuy3.14	1	Approved	Customer
theScienceGuy	1	Approved	Customer
@sql_text
insert into magic44_scoring \n(select 1, 'missing', concat(username, '#', creditCardCount, '#', userType, '#', status) \nfrom magic44_table1 \nwhere concat(username, '#', creditCardCount, '#', userType, '#', status) not in (select concat(username, '#', creditCardCount, '#', userType, '#', status) \nfrom AdFilterUser)) \nunion (select 1, 'extra', concat(username, '#', creditCardCount, '#', userType, '#', status) \nfrom AdFilterUser \nwhere concat(username, '#', creditCardCount, '#', userType, '#', status) not in \n(select concat(username, '#', creditCardCount, '#', userType, '#', status) from magic44_table1))
